	name	m	n	noise_mean	noise_sd	num	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
18	Buenrostro2018	5000	1974	-1	1	1	scOpen	8	1	1	0	0.6064593567799363	0.24375268921022997	0.8560598139511875	0.8468795047408665
19	Buenrostro2018	5000	1974	-1	1	1	scOpen	10	1	1	0	0.6065864177420832	0.24328207294699292	0.8558783156098743	0.8467102578442212
20	Buenrostro2018	5000	1974	-1	1	1	scOpen	20	1	1	0	0.6076528258155904	0.24366517423914386	0.8530544142885937	0.8441783378927256
21	Buenrostro2018	5000	1974	-1	1	1	scOpen	30	1	1	0	0.6084758100394415	0.24409384841595647	0.8508353202706803	0.8422135811552051
22	Buenrostro2018	5000	1974	-1	1	1	scOpen	40	1	1	0	0.6091111066989625	0.24447535306940626	0.8491321401076274	0.8407262519515708
23	Buenrostro2018	5000	1974	-1	1	1	scOpen	50	1	1	0	0.6097398508853948	0.24472105925049037	0.8473510840263596	0.839297434653802
24	Buenrostro2018	5000	1974	-1	1	1	scOpen	100	1	1	0	0.6122332411549215	0.24544605844778522	0.8378266685054119	0.8336251573565401
25	Buenrostro2018	5000	1974	-1	1	2	X	0	1	1	0	0.6638874414059214	0.20423465045592704	0.7399052777475995	0.842022602975563
26	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	5	1	1	0	0.6096617391342132	0.2384232169574256	0.8555890785353286	0.81823157127211
27	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	5	1	1	1	0.6099872628445487	0.23857249186179952	0.8540761883692655	0.8161440883029228
28	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	8	1	1	0	0.609730447150087	0.237099055681007	0.8559981258305834	0.8246361704856024
29	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	8	1	1	1	0.6095998001457941	0.23748204122471425	0.8551329611005133	0.8215913087198311
30	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	10	1	1	0	0.609884250935789	0.2365956011086506	0.8557370334170216	0.8199965640995772
31	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	10	1	1	1	0.6093151022424114	0.23682285610150675	0.8559641784869054	0.8207266388874279
32	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	20	1	1	0	0.6116247579543649	0.2365311771542322	0.8507726893853571	0.8113040889297589
33	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	20	1	1	1	0.610875538021598	0.23632966999176286	0.8526994800027231	0.8093427731947398
34	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	30	1	1	0	0.6132383817479865	0.23650383016417328	0.8457311206475194	0.8007149075222244
35	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	30	1	1	1	0.6123903166444011	0.2362994797386778	0.8484402082491551	0.8031937914705627
36	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	40	1	1	0	0.6147420769831998	0.23652674662932452	0.8408632063397677	0.7894029656805087
37	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	40	1	1	1	0.6138112030152837	0.2363071026437649	0.8441897645791819	0.7953242285183575
38	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	50	1	1	0	0.6161010359858732	0.23653943965913626	0.836272949922663	0.7854012805112645
39	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	50	1	1	1	0.6151277107312915	0.23632312794086788	0.8400159523126479	0.787127443906858
40	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	100	1	1	0	0.6214670815129076	0.23685507349493534	0.8183325219777239	0.7645805710921283
41	Buenrostro2018	5000	1974	-1	1	2	S_lsi_M	100	1	1	1	0.6203981657757835	0.23656315534040773	0.8229646819331397	0.7657498991365982
42	Buenrostro2018	5000	1974	-1	1	2	scOpen	5	1	1	0	0.6064883714088923	0.24499011118596045	0.8555574953119913	0.8464049931546405
43	Buenrostro2018	5000	1974	-1	1	2	scOpen	8	1	1	0	0.6064896446843394	0.24375505531751265	0.8559879315586119	0.8468344436169305
44	Buenrostro2018	5000	1974	-1	1	2	scOpen	10	1	1	0	0.6065493373518617	0.24319625428464034	0.856014018282396	0.8468314923475357
45	Buenrostro2018	5000	1974	-1	1	2	scOpen	20	1	1	0	0.6076493749175078	0.243725263529997	0.8530200215903813	0.8441559538903947
46	Buenrostro2018	5000	1974	-1	1	2	scOpen	30	1	1	0	0.608444493084319	0.2441313544693465	0.8508965046001072	0.8422898899601565
47	Buenrostro2018	5000	1974	-1	1	2	scOpen	40	1	1	0	0.6090967751533753	0.2444586994557315	0.8491367186971179	0.8407300021122346
48	Buenrostro2018	5000	1974	-1	1	2	scOpen	50	1	1	0	0.6097070646994422	0.24473956281324924	0.8474553040437015	0.839361911318903
49	Buenrostro2018	5000	1974	-1	1	2	scOpen	100	1	1	0	0.612232107999391	0.2453879632693374	0.8380276775489385	0.8336458779729989
50	Buenrostro2018	5000	1974	-1	1	3	X	0	1	1	0	0.6638874414059214	0.20423465045592704	0.7399052777475995	0.842022602975563
51	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	5	1	1	0	0.6096618469073466	0.23842308699745368	0.8555890686542118	0.8182315643595984
52	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	5	1	1	1	0.6099872629589482	0.23857249169307643	0.8540761867275715	0.8161440875615441
53	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	8	1	1	0	0.6097306321873931	0.23709883671054252	0.8559980968503172	0.8246361499520618
54	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	8	1	1	1	0.6095998004130031	0.2374820406042408	0.8551329573571547	0.8215913070388827
55	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	10	1	1	0	0.6098839734199254	0.23659592677912672	0.8557370916367771	0.8199966030343788
56	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	10	1	1	1	0.6093151029363554	0.23682285440970527	0.8559641706664516	0.8207266349375539
57	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	20	1	1	0	0.6116246971288655	0.2365311397633186	0.8507829302999288	0.8106058245766665
58	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	20	1	1	1	0.610876129001626	0.23633094691721485	0.8526973862614302	0.8103283776617747
59	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	30	1	1	0	0.6132405204087511	0.23650612280778127	0.8457302406914693	0.8021518460523951
60	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	30	1	1	1	0.6123897894676311	0.2362971815437464	0.8484461993342272	0.8055694396285259
61	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	40	1	1	0	0.6147391533596038	0.23651811249613655	0.8408515020611094	0.7900199319895074
62	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	40	1	1	1	0.6138120726473351	0.23630803908617165	0.8441870731043066	0.7955418212614616
63	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	50	1	1	0	0.6160968917721248	0.23653497893363434	0.8362686959940501	0.7869295119457868
64	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	50	1	1	1	0.6151266383034361	0.23632407653887105	0.8400403424104055	0.7844572099450022
65	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	100	1	1	0	0.6214775340540386	0.23686396471148372	0.8182965032621186	0.7637281452897087
66	Buenrostro2018	5000	1974	-1	1	3	S_lsi_M	100	1	1	1	0.6203918763669569	0.23656040180460292	0.8229843532142442	0.7686867777133288
67	Buenrostro2018	5000	1974	-1	1	3	scOpen	5	1	1	0	0.6065133471698174	0.24497197229527962	0.8554983704315459	0.8463635172914816
68	Buenrostro2018	5000	1974	-1	1	3	scOpen	8	1	1	0	0.6064639903957195	0.24366555231812362	0.8560883241538979	0.8469005815002828
69	Buenrostro2018	5000	1974	-1	1	3	scOpen	10	1	1	0	0.6065713602497285	0.24326383074203953	0.8559355698811951	0.8467745436709198
70	Buenrostro2018	5000	1974	-1	1	3	scOpen	20	1	1	0	0.6076243641568053	0.24368482040386524	0.8530849004073868	0.844226199881031
71	Buenrostro2018	5000	1974	-1	1	3	scOpen	30	1	1	0	0.6084654978061625	0.24405304038624925	0.8509793404474144	0.842303017415122
72	Buenrostro2018	5000	1974	-1	1	3	scOpen	40	1	1	0	0.6091229087753005	0.2444711133900081	0.848997258565504	0.8406511988879808
73	Buenrostro2018	5000	1974	-1	1	3	scOpen	50	1	1	0	0.6097047216796336	0.2447164849278075	0.847531626577142	0.8393946599990225
74	Buenrostro2018	5000	1974	-1	1	3	scOpen	100	1	1	0	0.6122228539637425	0.2453512361587487	0.8374312463727092	0.8335967946794781
75	Buenrostro2018	5000	1974	-1	1	4	X	0	1	1	0	0.6638874414059214	0.20423465045592704	0.7399052777475995	0.842022602975563
76	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	5	1	1	0	0.6096619333820945	0.23842298260015923	0.8555890605784082	0.8182315587400477
