	version	m	n_cl	n_incl	sparse_rate	hetero_rate	drop_rate	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
0	0	100	8	10	0.3	0.2	0.4978923787930147	X	0	1	1	0	0.37674325762808364	0.14675	0.7494664959453692	0.8228414959453692
1	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	5	1	1	0	0.3043484620457769	0.16259965381073305	0.9341836880583592	0.8859475108275774
2	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	5	1	1	0	0.3043484620457768	0.16259965381073305	0.9341836880583592	0.8859475108275774
3	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	5	1	1	0.1	0.3026202345041895	0.1598881691222328	0.9390369622775193	0.8923188952890384
4	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	5	1	1	0.1	0.3026339057603541	0.15994006246010745	0.9387676544856856	0.8920650162563113
5	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	5	1	1	1	0.29741132394569003	0.15299342107886177	0.9517223061317752	0.9104689270996558
6	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	5	1	1	1	0.3063023324063209	0.1603568566455283	0.9313260226773834	0.8882342140026233
7	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	8	1	1	0	0.28810987813069017	0.14098394118137522	0.9612305423328535	0.9271249935401045
8	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	8	1	1	0	0.2881098781306901	0.14098394118137522	0.9612305423328535	0.9271249935401045
9	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	8	1	1	0.1	0.28490114475166484	0.13623624642256732	0.9672155581212539	0.9345353990923783
10	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	8	1	1	0.1	0.28446413297620526	0.13577601015056667	0.9672778018327717	0.9346939361502948
11	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	8	1	1	1	0.27625369056767773	0.12417376890255998	0.9765222001439378	0.9470809798643797
12	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	8	1	1	1	0.2817997070610179	0.13368892890737485	0.9682195303263056	0.9368797430785707
13	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	10	1	1	0	0.2955007535865414	0.14531005230884392	0.9461742411982299	0.9126753712764435
14	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	10	1	1	0	0.2955007535865413	0.1453100523088439	0.9461742411982299	0.9126753712764435
15	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	10	1	1	0.1	0.29216999866070636	0.14086465943593668	0.9534907820081118	0.9213358331732836
16	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	10	1	1	0.1	0.2918987940783526	0.1406438295638281	0.9542238243124843	0.9216427156966972
17	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	10	1	1	1	0.2794893776794424	0.12750770130191907	0.9725162325941119	0.9432357415772519
18	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	10	1	1	1	0.2882300618341816	0.13721564674145445	0.9605154941196292	0.9286321490785848
19	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	20	1	1	0	0.3206100946211746	0.15547872772718166	0.9035960719615769	0.867952151937267
20	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	20	1	1	0	0.3206100940469256	0.15547872723426498	0.903595996514654	0.8679519579226868
21	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	20	1	1	0.1	0.3174944840335945	0.15165795121281006	0.9148487541940001	0.8803957654505322
22	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	20	1	1	0.1	0.3170598623448403	0.1514873409111337	0.9155974140114442	0.8812039153664752
23	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	20	1	1	1	0.3072768330911276	0.14266136368499943	0.9392725075712874	0.9077969827839444
24	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	20	1	1	1	0.3102011801258485	0.14588105056118544	0.9321336442651926	0.9001582317732065
25	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	30	1	1	0	0.3354763346277358	0.1573643064480138	0.8847584842139762	0.8465288618740655
26	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	30	1	1	0	0.3354762135734898	0.15736395279236995	0.8847531274824395	0.8465300884148165
27	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	30	1	1	0.1	0.3320122554376049	0.15398868997910048	0.8968465147784301	0.8621560140082211
28	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	30	1	1	0.1	0.33164546557944163	0.1537174789145919	0.8984909559132694	0.8635222252326243
29	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	30	1	1	1	0.32088491802927177	0.1454966622321303	0.9313502788631448	0.8993030357443886
30	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	30	1	1	1	0.3234632790198925	0.14837010214405363	0.9229957392859145	0.8900996636105962
31	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	40	1	1	0	0.3446988037139751	0.15664099795594702	0.8754056309509233	0.8366926948128486
32	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_X	40	1	1	0	0.34469880371382855	0.15664099795578487	0.8754056309509233	0.8366926948128486
33	0	100	8	10	0.3	0.2	0.4978923787930147	S_lsi_M	40	1	1	0.1	0.3412946648187038	0.15316338632238152	0.8948365710248659	0.857867551520023
