	version	m	n_cl	n_incl	sparse_rate	hetero_rate	drop_rate	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
23	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	20	1	1	1	0.2961643322047268	0.1369645164646504	0.9541042764944088	0.929348163206732
24	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	20	1	1	1	0.3041739731199379	0.1438295404179796	0.9394876274936867	0.9102182065988338
25	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	30	1	1	0	0.33039527399621693	0.15480625527564487	0.8891633214172623	0.8580620811029338
26	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	30	1	1	0	0.3303952739969014	0.1548062552760367	0.8891633214172623	0.8580620811029338
27	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	30	1	1	0.1	0.3264081543105927	0.15078455001624533	0.9060791406120883	0.8755289047477696
28	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	30	1	1	0.1	0.3268552225790316	0.15112765596000882	0.9041495786406893	0.8734043231751935
29	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	30	1	1	1	0.31235698171300663	0.140584964659006	0.9446272634097359	0.91866293163498
30	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	30	1	1	1	0.31925005356786496	0.14634061605281742	0.925767373979774	0.8955748559871982
31	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	40	1	1	0	0.33872625442512877	0.15337682881021047	0.8884108954018004	0.8534750854046113
32	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	40	1	1	0	0.33872645543917157	0.15337695719286198	0.8884042906167748	0.8534723905555
33	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	40	1	1	0.1	0.3346514760749807	0.14952356998724428	0.9094873581075109	0.8758703620238572
34	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	40	1	1	0.1	0.33511966405709936	0.1499044344286103	0.9069121598470777	0.8732291994175505
35	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	40	1	1	1	0.32104448048437184	0.14073032722693593	0.949439554306138	0.9219429345422753
36	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	40	1	1	1	0.32639214408987294	0.14520793679215502	0.9312913119099339	0.900744829071762
37	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	50	1	1	0	0.3432737542226475	0.15104035481956063	0.8968879885602155	0.8629688479621722
38	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	50	1	1	0	0.3432737542226475	0.15104035481956063	0.8968879885602155	0.8629688479621722
39	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	50	1	1	0.1	0.33916959122405566	0.147234483563717	0.921109813159537	0.8895071881972588
40	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	50	1	1	0.1	0.33977655227732584	0.1477415204968988	0.917503711852079	0.8848573588962879
41	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	50	1	1	1	0.34763542864644376	0.13818558341587753	0.9095511054146694	0.8983593323364187
42	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	50	1	1	1	0.3306569217904154	0.14374403279503245	0.9405294766731981	0.909803358644575
43	v1	100	8	10	0.3	0.2	0.47269325577333754	scOpen	5	1	1	0	0.2922627493979618	0.1658595688925	0.9363791113951911	0.896008745089952
44	v1	100	8	10	0.3	0.2	0.47269325577333754	scOpen	8	1	1	0	0.2624839600896924	0.13823682802374998	0.9743878310472244	0.9447681114099612
45	v1	100	8	10	0.3	0.2	0.47269325577333754	scOpen	10	1	1	0	0.2691167862959336	0.14175801192875	0.969172462736582	0.938745672635393
46	v1	100	8	10	0.3	0.2	0.47269325577333754	scOpen	20	1	1	0	0.2917178864810649	0.15388610168	0.9419022701091401	0.9089277358316485
47	v1	100	8	10	0.3	0.2	0.47269325577333754	scOpen	30	1	1	0	0.2999894896217977	0.15655127474375	0.9343629822133139	0.9011135599398548
48	v1	100	8	10	0.3	0.2	0.47269325577333754	scOpen	40	1	1	0	0.30774904888276816	0.15848860573499998	0.9256621055802344	0.8892606039110107
49	v1	100	8	10	0.3	0.2	0.47269325577333754	scOpen	50	1	1	0	0.31146956629338146	0.15721672637125	0.9256874486598556	0.8905740495194128
50	v1	100	8	10	0.3	0.2	0.5130963210013482	X	0	1	1	0	0.3860483207592873	0.15275	0.7465781833264206	0.8229531833264205
51	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	5	1	1	0	0.3134588455004485	0.16622015362104844	0.9238017825350041	0.8814210637884135
52	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	5	1	1	0	0.31345884550044695	0.1662201536210492	0.9238017825350041	0.8814210637884135
53	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	5	1	1	0.1	0.3116492585084477	0.16343735441249524	0.9293731042318935	0.8882223508660962
54	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	5	1	1	0.1	0.3116600569718743	0.16335964672507147	0.9294257198788963	0.8883326337415813
